,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,household_per_room,bedrooms_per_room,household_per_population,total_income
16463,-121.28,38.11,10.0,2974.0,588.0,1559.0,568.0,3.8825,136800.0,0,1,0,0,0,0.19098856758574312,0.1977135171486214,0.36433611289288004,2205.2599999999998
16464,-121.27,38.11,15.0,2039.0,384.0,1178.0,375.0,3.8672,120100.0,0,1,0,0,0,0.18391368317802845,0.18832761157430114,0.31833616298811546,1450.2
16465,-121.28,38.1,13.0,2432.0,586.0,1441.0,606.0,2.5556,133100.0,0,1,0,0,0,0.24917763157894737,0.24095394736842105,0.4205412907702984,1548.6936
16466,-121.29,38.1,14.0,1551.0,297.0,785.0,281.0,3.775,163300.0,0,1,0,0,0,0.18117343649258544,0.19148936170212766,0.3579617834394904,1060.7749999999999
16467,-121.27,38.13,39.0,2614.0,634.0,1862.0,654.0,1.9238,70700.0,0,1,0,0,0,0.2501912777352716,0.24254016832440703,0.35123523093447906,1258.1652
16468,-121.27,38.12,37.0,2232.0,504.0,1455.0,471.0,2.5587,87800.0,0,1,0,0,0,0.2110215053763441,0.22580645161290322,0.3237113402061856,1205.1477
16469,-121.26,38.13,38.0,1419.0,411.0,1226.0,397.0,2.2188,68800.0,0,1,0,0,0,0.2797744890768147,0.28964059196617337,0.32381729200652526,880.8635999999999
16470,-121.26,38.12,27.0,1818.0,459.0,1182.0,428.0,1.8575,73800.0,0,1,0,0,0,0.23542354235423543,0.2524752475247525,0.36209813874788493,795.01
16471,-121.25,38.13,25.0,1305.0,270.0,789.0,235.0,3.2993,91100.0,0,1,0,0,0,0.18007662835249041,0.20689655172413793,0.29784537389100124,775.3355
16472,-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,150900.0,0,1,0,0,0,0.15354713313896987,0.17784256559766765,0.3386923901393355,1341.3567999999998
16473,-121.26,38.11,8.0,2770.0,642.0,1611.0,633.0,3.1284,115100.0,0,1,0,0,0,0.22851985559566787,0.23176895306859205,0.3929236499068901,1980.2772
16474,-121.25,38.14,16.0,1174.0,242.0,464.0,261.0,2.3,133300.0,0,1,0,0,0,0.2223168654173765,0.2061328790459966,0.5625,600.3
16475,-121.26,38.14,10.0,3371.0,665.0,1823.0,654.0,3.5333,116800.0,0,1,0,0,0,0.19400771284485316,0.19727083951349747,0.3587493143170598,2310.7782
16476,-121.27,38.13,35.0,2607.0,685.0,2016.0,618.0,1.75,82900.0,0,1,0,0,0,0.23705408515535098,0.2627541235136172,0.30654761904761907,1081.5
16477,-121.26,38.13,25.0,2549.0,675.0,2053.0,648.0,2.0875,83100.0,0,1,0,0,0,0.25421734013338565,0.26480972930561003,0.31563565513882125,1352.7
16478,-121.24,38.22,28.0,2593.0,487.0,1365.0,457.0,3.3929,113000.0,0,1,0,0,0,0.17624373312765138,0.18781334361743154,0.3347985347985348,1550.5553
16479,-121.22,38.16,24.0,4411.0,776.0,2038.0,732.0,3.475,151200.0,0,1,0,0,0,0.1659487644525051,0.17592382679664476,0.3591756624141315,2543.7000000000003
16480,-121.28,38.17,19.0,1337.0,236.0,744.0,225.0,4.0924,244200.0,0,1,0,0,0,0.1682872101720269,0.17651458489154825,0.3024193548387097,920.79
16481,-121.32,38.21,27.0,2643.0,467.0,1455.0,444.0,3.6398,146700.0,0,1,0,0,0,0.16799091940976163,0.17669315172152858,0.30515463917525776,1616.0712
16482,-121.16,38.16,31.0,1953.0,366.0,999.0,316.0,2.4906,122500.0,0,1,0,0,0,0.16180235535074244,0.18740399385560677,0.3163163163163163,787.0296000000001
16483,-121.14,38.16,14.0,2591.0,497.0,1371.0,479.0,3.5774,113900.0,0,1,0,0,0,0.18487070629100733,0.19181783095329988,0.34938001458789203,1713.5746
16484,-121.06,38.25,13.0,651.0,102.0,301.0,104.0,3.6528,200000.0,0,1,0,0,0,0.1597542242703533,0.15668202764976957,0.34551495016611294,379.8912
16485,-121.15,38.21,18.0,4176.0,700.0,2164.0,699.0,4.0365,174200.0,0,1,0,0,0,0.16738505747126436,0.16762452107279693,0.3230129390018484,2821.5135
16486,-121.05,38.14,19.0,3326.0,561.0,1544.0,511.0,2.9875,166300.0,0,1,0,0,0,0.15363800360793747,0.16867107636800963,0.33095854922279794,1526.6125
16487,-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,105000.0,0,1,0,0,0,0.18503937007874016,0.1837270341207349,0.39385474860335196,346.0845
16488,-121.19,38.13,27.0,2400.0,435.0,1085.0,444.0,3.7687,165200.0,0,1,0,0,0,0.185,0.18125,0.40921658986175113,1673.3028
16489,-121.18,38.07,21.0,2333.0,377.0,1073.0,332.0,4.8125,161100.0,0,1,0,0,0,0.14230604372053152,0.16159451350192885,0.30941286113699906,1597.75
16490,-120.97,38.0,27.0,1683.0,288.0,873.0,258.0,4.7069,176900.0,0,1,0,0,0,0.1532976827094474,0.1711229946524064,0.29553264604810997,1214.3802
16491,-121.05,37.93,17.0,2474.0,480.0,1649.0,453.0,3.275,156500.0,0,1,0,0,0,0.18310428455941793,0.19401778496362165,0.27471194663432386,1483.575
16492,-121.11,38.04,32.0,1083.0,188.0,471.0,178.0,2.9241,187500.0,0,1,0,0,0,0.16435826408125578,0.17359187442289936,0.37791932059447986,520.4898000000001
16493,-121.09,38.03,21.0,2064.0,342.0,1021.0,359.0,4.517,152200.0,0,1,0,0,0,0.1739341085271318,0.16569767441860464,0.3516160626836435,1621.603
16494,-121.12,38.0,36.0,683.0,159.0,505.0,141.0,3.4265,158900.0,0,1,0,0,0,0.20644216691068815,0.232796486090776,0.27920792079207923,483.13649999999996
16495,-120.99,37.8,32.0,2564.0,513.0,1198.0,459.0,2.9083,113400.0,0,1,0,0,0,0.17901716068642745,0.2000780031201248,0.3831385642737897,1334.9097000000002
16496,-121.0,37.8,13.0,4030.0,744.0,2248.0,766.0,3.6107,141300.0,0,1,0,0,0,0.1900744416873449,0.18461538461538463,0.3407473309608541,2765.7962
16497,-120.98,37.79,20.0,2458.0,491.0,1227.0,481.0,2.7857,110900.0,0,1,0,0,0,0.19568755085435313,0.19975589910496339,0.3920130399348003,1339.9216999999999
16498,-120.97,37.84,28.0,2368.0,430.0,1231.0,403.0,2.883,141900.0,0,1,0,0,0,0.1701858108108108,0.18158783783783783,0.3273761169780666,1161.849
16499,-120.96,37.77,32.0,2262.0,416.0,1156.0,404.0,3.8534,157600.0,0,1,0,0,0,0.1786030061892131,0.1839080459770115,0.3494809688581315,1556.7736
16500,-121.04,37.78,32.0,2916.0,528.0,1466.0,473.0,2.5643,200000.0,0,1,0,0,0,0.1622085048010974,0.18106995884773663,0.3226466575716235,1212.9139
16501,-121.06,37.86,24.0,1713.0,328.0,1258.0,324.0,2.683,169400.0,0,1,0,0,0,0.18914185639229422,0.19147694103911267,0.2575516693163752,869.2919999999999
16502,-121.13,37.74,31.0,677.0,144.0,523.0,159.0,2.4598,97100.0,0,1,0,0,0,0.23485967503692762,0.21270310192023634,0.30401529636711283,391.1082
16503,-121.13,37.74,28.0,409.0,104.0,244.0,98.0,3.4643,90900.0,0,1,0,0,0,0.2396088019559902,0.254278728606357,0.4016393442622951,339.5014
16504,-121.12,37.73,35.0,1107.0,227.0,573.0,210.0,2.3924,102200.0,0,1,0,0,0,0.1897018970189702,0.2050587172538392,0.36649214659685864,502.404
16505,-121.13,37.74,21.0,2376.0,475.0,1175.0,441.0,3.6016,134600.0,0,1,0,0,0,0.1856060606060606,0.1999158249158249,0.3753191489361702,1588.3056
16506,-121.13,37.73,40.0,1126.0,220.0,667.0,235.0,3.3158,125900.0,0,1,0,0,0,0.20870337477797513,0.19538188277087035,0.3523238380809595,779.213
16507,-121.11,37.74,11.0,3886.0,599.0,1605.0,529.0,4.4213,182700.0,0,1,0,0,0,0.13612969634585692,0.1541430777148739,0.329595015576324,2338.8677
16508,-121.1,37.8,35.0,1853.0,331.0,958.0,340.0,3.3578,149000.0,0,1,0,0,0,0.1834862385321101,0.17862924986508366,0.35490605427974947,1141.652
16509,-121.11,37.76,22.0,2606.0,411.0,1252.0,397.0,4.1833,192100.0,0,1,0,0,0,0.1523407521105142,0.15771297006907137,0.3170926517571885,1660.7701
16510,-121.16,37.73,7.0,4956.0,941.0,3006.0,915.0,3.4426,139000.0,0,1,0,0,0,0.18462469733656175,0.18987086359967717,0.30439121756487025,3149.9790000000003
16511,-121.25,37.76,22.0,2430.0,417.0,1292.0,391.0,3.4009,182400.0,0,1,0,0,0,0.16090534979423868,0.17160493827160495,0.3026315789473684,1329.7519
16512,-121.22,37.72,34.0,2123.0,387.0,1310.0,368.0,2.6368,165600.0,0,1,0,0,0,0.17333961375412152,0.18228921337729628,0.28091603053435116,970.3424
16513,-121.22,37.81,17.0,2879.0,542.0,1802.0,530.0,3.6378,126100.0,0,1,0,0,0,0.18409169850642584,0.18825981243487322,0.29411764705882354,1928.0339999999999
