,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
1,91,57888,RobinMorgan_2015W_592.76_599.78,7.02,592.76,599.78,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,then grope for a chair  spread a shawl and sit  breathing in the wet green,string,,t h e n _ g r o p e _ f o r _ a _ c h a i r _ _ s p r e a d _ a _ s h a w l _ a n d _ s i t _ _ b r e a t h i n g _ i n _ t h e _ w e t _ g r e e n,string,
5,62,57859,RobinMorgan_2015W_414.94_417.03,2.09,414.94,417.03,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,to show our true colors,string,,t o _ s h o w _ o u r _ t r u e _ c o l o r s,string,
6,104,57901,RobinMorgan_2015W_668.01_670.36,2.35,668.01,670.36,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,the city stirs ,string,,t h e _ c i t y _ s t i r s _,string,
10,97,57894,RobinMorgan_2015W_630.11_635.55,5.44,630.11,635.55,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,stranger  intimate  not distant but apart,string,,s t r a n g e r _ _ i n t i m a t e _ _ n o t _ d i s t a n t _ b u t _ a p a r t,string,
12,63,57860,RobinMorgan_2015W_416.9_424.99,8.09,416.9,424.99,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,external illumination can distort though when gravity bends light  huge galaxy clusters can act as,string,,e x t e r n a l _ i l l u m i n a t i o n _ c a n _ d i s t o r t _ t h o u g h _ w h e n _ g r a v i t y _ b e n d s _ l i g h t _ _ h u g e _ g a l a x y _ c l u s t e r s _ c a n _ a c t _ a s,string,
13,43,57840,RobinMorgan_2015W_256.1_259.2,3.1,256.1,259.2,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,such understated power here,string,,s u c h _ u n d e r s t a t e d _ p o w e r _ h e r e,string,
14,90,57887,RobinMorgan_2015W_587.76_592.76,5.0,587.76,592.76,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,stoop by the mint bed scoop a fistful of moist earth ,string,,s t o o p _ b y _ t h e _ m i n t _ b e d _ s c o o p _ a _ f i s t f u l _ o f _ m o i s t _ e a r t h _,string,
15,49,57846,RobinMorgan_2015W_319.35_323.63,4.28,319.35,323.63,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,maybe saving someone else from what it is they 're not quite sure i have,string,,m a y b e _ s a v i n g _ s o m e o n e _ e l s e _ f r o m _ w h a t _ i t _ i s _ t h e y _ ' r e _ n o t _ q u i t e _ s u r e _ i _ h a v e,string,
17,10,57807,RobinMorgan_2015W_66.57_74.59,8.02,66.57,74.59,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,gender specific medicine is good for men too but you bring to a crisis the person you already are,string,,g e n d e r _ s p e c i f i c _ m e d i c i n e _ i s _ g o o d _ f o r _ m e n _ t o o _ b u t _ y o u _ b r i n g _ t o _ a _ c r i s i s _ t h e _ p e r s o n _ y o u _ a l r e a d y _ a r e,string,
18,24,57821,RobinMorgan_2015W_150.73_157.25,6.52,150.73,157.25,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,, you are still learning that growing small requires a largeness of spirit you can 't fit into yet ,string,,_ y o u _ a r e _ s t i l l _ l e a r n i n g _ t h a t _ g r o w i n g _ s m a l l _ r e q u i r e s _ a _ l a r g e n e s s _ o f _ s p i r i t _ y o u _ c a n _ ' t _ f i t _ i n t o _ y e t _,string,
19,61,57858,RobinMorgan_2015W_402.95_412.56,9.61,402.95,412.56,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,, light from our most lucent selves our tragedy is we can 't see it we see by reflecting,string,,_ l i g h t _ f r o m _ o u r _ m o s t _ l u c e n t _ s e l v e s _ o u r _ t r a g e d y _ i s _ w e _ c a n _ ' t _ s e e _ i t _ w e _ s e e _ b y _ r e f l e c t i n g,string,
20,105,57902,RobinMorgan_2015W_670.47_674.87,4.4,670.47,674.87,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,there will be other dawns  nights  gaudy noons ,string,,t h e r e _ w i l l _ b e _ o t h e r _ d a w n s _ _ n i g h t s _ _ g a u d y _ n o o n s _,string,
21,57,57854,RobinMorgan_2015W_364.33_370.97,6.64,364.33,370.97,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,share me  hear me  i want to be used i want to be used i want to be used up,string,,s h a r e _ m e _ _ h e a r _ m e _ _ i _ w a n t _ t o _ b e _ u s e d _ i _ w a n t _ t o _ b e _ u s e d _ i _ w a n t _ t o _ b e _ u s e d _ u p,string,
25,28,57825,RobinMorgan_2015W_175.31_184.11,8.8,175.31,184.11,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,, and doorknobs yield only when wrestled round with both hands it demands colossal patience all this growing small,string,,_ a n d _ d o o r k n o b s _ y i e l d _ o n l y _ w h e n _ w r e s t l e d _ r o u n d _ w i t h _ b o t h _ h a n d s _ i t _ d e m a n d s _ c o l o s s a l _ p a t i e n c e _ a l l _ t h i s _ g r o w i n g _ s m a l l,string,
28,14,57811,RobinMorgan_2015W_93.51_99.93,6.42,93.51,99.93,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,to create a major initiative to put women on the parkinson 's disease,string,,t o _ c r e a t e _ a _ m a j o r _ i n i t i a t i v e _ t o _ p u t _ w o m e n _ o n _ t h e _ p a r k i n s o n _ ' s _ d i s e a s e,string,
33,111,57908,RobinMorgan_2015W_705.53_707.02,1.49,705.53,707.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,and smile,string,,a n d _ s m i l e,string,
35,71,57868,RobinMorgan_2015W_469.3_473.64,4.34,469.3,473.64,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,especially when one 's body is not al dente anymore,string,,e s p e c i a l l y _ w h e n _ o n e _ ' s _ b o d y _ i s _ n o t _ a l _ d e n t e _ a n y m o r e,string,
36,52,57849,RobinMorgan_2015W_336.14_338.91,2.77,336.14,338.91,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,find what i 'm trying to tell you,string,,f i n d _ w h a t _ i _ ' m _ t r y i n g _ t o _ t e l l _ y o u,string,
37,16,57813,RobinMorgan_2015W_106.52_114.03,7.51,106.52,114.03,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,hilarious  sometimes even joyful i do not feel diminished by parkinson 's i feel,string,,h i l a r i o u s _ _ s o m e t i m e s _ e v e n _ j o y f u l _ i _ d o _ n o t _ f e e l _ d i m i n i s h e d _ b y _ p a r k i n s o n _ ' s _ i _ f e e l,string,
41,21,57818,RobinMorgan_2015W_134.34_139.69,5.35,134.34,139.69,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/RobinMorgan_2015W.sph,sph,,RobinMorgan_2015W,string,,watching it stoop stare at you while you try not to look ,string,,w a t c h i n g _ i t _ s t o o p _ s t a r e _ a t _ y o u _ w h i l e _ y o u _ t r y _ n o t _ t o _ l o o k _,string,
