dataset_name,client_num,n_estimators_client,num_rounds,xgb_max_depth,CNN_lr,best_res,best_res_round_num,num_iterations
abalone,2,650,100,4,0.001217139626212002,10.490303993225098,10,500
abalone,2,150,100,6,0.009503176921678468,7.928699016571045,98,500
abalone,2,350,100,8,0.00783944676415376,9.897452354431152,79,100
abalone,2,200,100,8,0.008207079744179863,10.53787612915039,28,100
abalone,2,650,100,4,0.001217139626212002,10.463903427124023,23,500
abalone,2,150,100,6,0.009503176921678468,7.670563220977783,100,500
abalone,2,350,100,8,0.00783944676415376,10.538168907165527,29,100
abalone,2,150,100,5,0.009531130088689884,8.326595306396484,97,500
abalone,2,200,100,6,0.0054653156736999805,8.855677604675293,98,500
abalone,2,50,100,5,0.0017955547171898984,6.178965091705322,96,500
abalone,2,150,100,5,0.004387414920659405,8.143877983093262,100,500
abalone,2,25,100,5,0.00950017009848373,9.77553939819336,27,500
abalone,2,50,100,5,0.004882675431964606,5.8692779541015625,96,500
abalone,2,25,100,5,0.007557058187901093,6.141476154327393,100,100
abalone,2,10,100,7,0.005130176232078475,7.082235813140869,92,100
abalone,2,50,100,6,0.002823108080376602,5.545757293701172,95,100
abalone,2,10,100,6,0.0028521611812793155,7.876493453979492,98,100
abalone,5,25,100,5,0.009785294236382034,9.208296775817871,99,500
abalone,5,100,100,6,0.007079031827661472,10.32761001586914,1,500
abalone,5,10,100,7,0.001344804317317952,8.094303131103516,100,500
abalone,5,25,100,5,0.004714981058473264,9.583475112915039,96,500
abalone,5,100,100,7,0.006981291837612061,9.868386268615723,100,100
abalone,5,10,100,7,0.004135357042596778,9.329564094543457,98,500
abalone,5,100,100,7,0.00362985132837509,10.195948600769043,45,500
abalone,5,50,100,6,0.009059669650367688,10.281177520751953,7,500
abalone,5,25,100,7,0.005573120595947365,10.041385650634766,2,500
abalone,5,25,100,7,0.00028621587028303236,9.260563850402832,100,500
abalone,5,25,100,8,1.5711330591445135e-05,10.278858184814453,34,500
abalone,5,5,100,8,0.00012332785174116285,9.62313175201416,10,500
abalone,5,25,100,4,0.0006278898956762251,8.320752143859863,97,100
abalone,5,25,100,6,0.0003372569452123535,8.360357284545898,99,500
abalone,5,5,100,4,0.0002038313592678424,9.912229537963867,10,100
abalone,5,5,100,7,0.00041985945288375667,9.698519706726074,19,500
abalone,5,25,100,6,0.0007804153506712646,7.4677205085754395,100,500
abalone,5,5,100,4,0.0005335030582873437,9.64600944519043,5,100
abalone,5,25,100,6,0.0009397031028496506,7.2984700202941895,100,500
abalone,5,25,100,8,0.0002193902512638236,9.670918464660645,99,100
abalone,5,5,100,6,0.0005419520842675534,9.692630767822266,3,100
abalone,5,25,100,4,0.0007623175785101614,8.790078163146973,99,500
