,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
0,250,247716,MikkoHypponen_2011G_220.8_225.02,4.22,220.8,225.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,now the viruses that we used to see in the 1980s and,string,,n o w _ t h e _ v i r u s e s _ t h a t _ w e _ u s e d _ t o _ s e e _ i n _ t h e _ 1 9 8 0 s _ a n d,string,
1,48,36632,MikkoHypponen_2011X_329.57_339.9,10.33,329.57,339.9,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,, sell certificates  what do you do with certificates  well you need a certificate if you have a website that has https  ssl encrypted services,string,,_ s e l l _ c e r t i f i c a t e s _ _ w h a t _ d o _ y o u _ d o _ w i t h _ c e r t i f i c a t e s _ _ w e l l _ y o u _ n e e d _ a _ c e r t i f i c a t e _ i f _ y o u _ h a v e _ a _ w e b s i t e _ t h a t _ h a s _ h t t p s _ _ s s l _ e n c r y p t e d _ s e r v i c e s,string,
2,267,247733,MikkoHypponen_2011G_320.36_329.94,9.58,320.36,329.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,through the web we can see in real time just some kind of idea of how many viruses how many new examples of malware we find every single day here 's,string,,t h r o u g h _ t h e _ w e b _ w e _ c a n _ s e e _ i n _ r e a l _ t i m e _ j u s t _ s o m e _ k i n d _ o f _ i d e a _ o f _ h o w _ m a n y _ v i r u s e s _ h o w _ m a n y _ n e w _ e x a m p l e s _ o f _ m a l w a r e _ w e _ f i n d _ e v e r y _ s i n g l e _ d a y _ h e r e _ ' s,string,
3,352,247818,MikkoHypponen_2011G_961.56_970.54,8.98,961.56,970.54,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,i 'm worried that we are running into problems because of online crime online crime is the one thing that might take these things away from us,string,,i _ ' m _ w o r r i e d _ t h a t _ w e _ a r e _ r u n n i n g _ i n t o _ p r o b l e m s _ b e c a u s e _ o f _ o n l i n e _ c r i m e _ o n l i n e _ c r i m e _ i s _ t h e _ o n e _ t h i n g _ t h a t _ m i g h t _ t a k e _ t h e s e _ t h i n g s _ a w a y _ f r o m _ u s,string,
5,324,247790,MikkoHypponen_2011G_751.87_762.72,10.85,751.87,762.72,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,he actually had a car accident in downtown  st petersburg he actually crashed his car into another car  and he put blogged images about the car accident that 's his mercedes,string,,h e _ a c t u a l l y _ h a d _ a _ c a r _ a c c i d e n t _ i n _ d o w n t o w n _ _ s t _ p e t e r s b u r g _ h e _ a c t u a l l y _ c r a s h e d _ h i s _ c a r _ i n t o _ a n o t h e r _ c a r _ _ a n d _ h e _ p u t _ b l o g g e d _ i m a g e s _ a b o u t _ t h e _ c a r _ a c c i d e n t _ t h a t _ ' s _ h i s _ m e r c e d e s,string,
8,223,247331,MikkoHypponen_2013X_1144.66_1150.59,5.93,1144.66,1150.59,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,and above the surveillance state  thank you very much,string,,a n d _ a b o v e _ t h e _ s u r v e i l l a n c e _ s t a t e _ _ t h a n k _ y o u _ v e r y _ m u c h,string,
9,73,247181,MikkoHypponen_2013X_32.2_35.37,3.17,32.2,35.37,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,for the surveillance state ,string,,f o r _ t h e _ s u r v e i l l a n c e _ s t a t e _,string,
10,300,247766,MikkoHypponen_2011G_555.88_566.1,10.22,555.88,566.1,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,here 's a video built by clarified networks which illustrates how one single malware family is able to move around the world  this operation believed to be originally from estonia  moves ,string,,h e r e _ ' s _ a _ v i d e o _ b u i l t _ b y _ c l a r i f i e d _ n e t w o r k s _ w h i c h _ i l l u s t r a t e s _ h o w _ o n e _ s i n g l e _ m a l w a r e _ f a m i l y _ i s _ a b l e _ t o _ m o v e _ a r o u n d _ t h e _ w o r l d _ _ t h i s _ o p e r a t i o n _ b e l i e v e d _ t o _ b e _ o r i g i n a l l y _ f r o m _ e s t o n i a _ _ m o v e s _,string,
11,30,36614,MikkoHypponen_2011X_215.66_224.11,8.45,215.66,224.11,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,here in the real world and it 's very obvious  that this is only going to get worse in the future the majority of crime,string,,h e r e _ i n _ t h e _ r e a l _ w o r l d _ a n d _ i t _ ' s _ v e r y _ o b v i o u s _ _ t h a t _ t h i s _ i s _ o n l y _ g o i n g _ t o _ g e t _ w o r s e _ i n _ t h e _ f u t u r e _ t h e _ m a j o r i t y _ o f _ c r i m e,string,
12,79,247187,MikkoHypponen_2013X_65.52_75.02,9.5,65.52,75.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,revelations from june six  edward snowden started leaking information  top secret classified information from,string,,r e v e l a t i o n s _ f r o m _ j u n e _ s i x _ _ e d w a r d _ s n o w d e n _ s t a r t e d _ l e a k i n g _ i n f o r m a t i o n _ _ t o p _ s e c r e t _ c l a s s i f i e d _ i n f o r m a t i o n _ f r o m,string,
13,116,247224,MikkoHypponen_2013X_307.42_312.2,4.78,307.42,312.2,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,that we knew this already  because we did not know this already,string,,t h a t _ w e _ k n e w _ t h i s _ a l r e a d y _ _ b e c a u s e _ w e _ d i d _ n o t _ k n o w _ t h i s _ a l r e a d y,string,
14,270,247736,MikkoHypponen_2011G_334.39_342,7.61,334.39,342.0,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,right over here three seconds ago the previous one six seconds ago  and if we just scroll around ,string,,r i g h t _ o v e r _ h e r e _ t h r e e _ s e c o n d s _ a g o _ t h e _ p r e v i o u s _ o n e _ s i x _ s e c o n d s _ a g o _ _ a n d _ i f _ w e _ j u s t _ s c r o l l _ a r o u n d _,string,
15,150,247258,MikkoHypponen_2013X_546.31_552.42,6.11,546.31,552.42,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,by their own government  and there 's more evidence supporting this theory as well,string,,b y _ t h e i r _ o w n _ g o v e r n m e n t _ _ a n d _ t h e r e _ ' s _ m o r e _ e v i d e n c e _ s u p p o r t i n g _ t h i s _ t h e o r y _ a s _ w e l l,string,
16,47,36631,MikkoHypponen_2011X_324.31_329.94,5.63,324.31,329.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,as the result of a hack like this well diginotar is a ca they sell,string,,a s _ t h e _ r e s u l t _ o f _ a _ h a c k _ l i k e _ t h i s _ w e l l _ d i g i n o t a r _ i s _ a _ c a _ t h e y _ s e l l,string,
17,102,247210,MikkoHypponen_2013X_204.08_206.35,2.27,204.08,206.35,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,to monitor foreigners,string,,t o _ m o n i t o r _ f o r e i g n e r s,string,
19,0,36584,MikkoHypponen_2011X_27.17_29.79,2.62,27.17,29.79,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,, you had to register it with the government,string,,_ y o u _ h a d _ t o _ r e g i s t e r _ i t _ w i t h _ t h e _ g o v e r n m e n t,string,
20,251,247717,MikkoHypponen_2011G_226.69_228.68,1.99,226.69,228.68,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,, are not a problem any more ,string,,_ a r e _ n o t _ a _ p r o b l e m _ a n y _ m o r e _,string,
21,140,247248,MikkoHypponen_2013X_488.93_497.4,8.47,488.93,497.4,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,that this simply isn 't true that they are not giving backdoor access to their data  yet,string,,t h a t _ t h i s _ s i m p l y _ i s n _ ' t _ t r u e _ t h a t _ t h e y _ a r e _ n o t _ g i v i n g _ b a c k d o o r _ a c c e s s _ t o _ t h e i r _ d a t a _ _ y e t,string,
22,276,247742,MikkoHypponen_2011G_366.75_379.94,13.19,366.75,379.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,this is a website operating in moscow where these guys are buying infected computers  so if you are a virus writer and you 're capable of infecting windows computers but you don 't know what to do with them,string,,t h i s _ i s _ a _ w e b s i t e _ o p e r a t i n g _ i n _ m o s c o w _ w h e r e _ t h e s e _ g u y s _ a r e _ b u y i n g _ i n f e c t e d _ c o m p u t e r s _ _ s o _ i f _ y o u _ a r e _ a _ v i r u s _ w r i t e r _ a n d _ y o u _ ' r e _ c a p a b l e _ o f _ i n f e c t i n g _ w i n d o w s _ c o m p u t e r s _ b u t _ y o u _ d o n _ ' t _ k n o w _ w h a t _ t o _ d o _ w i t h _ t h e m,string,
23,322,247788,MikkoHypponen_2011G_741.48_749.96,8.48,741.48,749.96,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,, engine with more than four hundred horsepower  now that 's a nice car for a 20 something year old kid in st petersburg how do i know about this car,string,,_ e n g i n e _ w i t h _ m o r e _ t h a n _ f o u r _ h u n d r e d _ h o r s e p o w e r _ _ n o w _ t h a t _ ' s _ a _ n i c e _ c a r _ f o r _ a _ 2 0 _ s o m e t h i n g _ y e a r _ o l d _ k i d _ i n _ s t _ p e t e r s b u r g _ h o w _ d o _ i _ k n o w _ a b o u t _ t h i s _ c a r,string,
24,5,36589,MikkoHypponen_2011X_53.3_54.94,1.64,53.3,54.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,couldn 't understand,string,,c o u l d n _ ' t _ u n d e r s t a n d,string,
25,246,247712,MikkoHypponen_2011G_194.24_199.96,5.72,194.24,199.96,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,of course  we had a very interesting discussion  i asked them why  i asked them how they,string,,o f _ c o u r s e _ _ w e _ h a d _ a _ v e r y _ i n t e r e s t i n g _ d i s c u s s i o n _ _ i _ a s k e d _ t h e m _ w h y _ _ i _ a s k e d _ t h e m _ h o w _ t h e y,string,
26,147,247255,MikkoHypponen_2013X_535.27_542.09,6.82,535.27,542.09,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,and which to spread  subverted the security of the windows update network,string,,a n d _ w h i c h _ t o _ s p r e a d _ _ s u b v e r t e d _ t h e _ s e c u r i t y _ o f _ t h e _ w i n d o w s _ u p d a t e _ n e t w o r k,string,
27,338,247804,MikkoHypponen_2011G_864.98_874.92,9.94,864.98,874.92,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,, mean we have critical infrastructure you go to any any factory any power plant  any chemical plant any food processing plant you look around everything,string,,_ m e a n _ w e _ h a v e _ c r i t i c a l _ i n f r a s t r u c t u r e _ y o u _ g o _ t o _ a n y _ a n y _ f a c t o r y _ a n y _ p o w e r _ p l a n t _ _ a n y _ c h e m i c a l _ p l a n t _ a n y _ f o o d _ p r o c e s s i n g _ p l a n t _ y o u _ l o o k _ a r o u n d _ e v e r y t h i n g,string,
29,257,247723,MikkoHypponen_2011G_262.1_267.51,5.41,262.1,267.51,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,here 's another one this is the virus called crash invented in russia in one thousand nine hundred and ninety two,string,,h e r e _ ' s _ a n o t h e r _ o n e _ t h i s _ i s _ t h e _ v i r u s _ c a l l e d _ c r a s h _ i n v e n t e d _ i n _ r u s s i a _ i n _ o n e _ t h o u s a n d _ n i n e _ h u n d r e d _ a n d _ n i n e t y _ t w o,string,
30,14,36598,MikkoHypponen_2011X_104.9_109.53,4.63,104.9,109.53,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,, our own governments are using technology,string,,_ o u r _ o w n _ g o v e r n m e n t s _ a r e _ u s i n g _ t e c h n o l o g y,string,
33,65,36649,MikkoHypponen_2011X_454.96_467.15,12.19,454.96,467.15,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,, be tapped but today it goes beyond that they will tap your internet connection they will even use tools like state trojan to infect your computer with a trojan which enables them,string,,_ b e _ t a p p e d _ b u t _ t o d a y _ i t _ g o e s _ b e y o n d _ t h a t _ t h e y _ w i l l _ t a p _ y o u r _ i n t e r n e t _ c o n n e c t i o n _ t h e y _ w i l l _ e v e n _ u s e _ t o o l s _ l i k e _ s t a t e _ t r o j a n _ t o _ i n f e c t _ y o u r _ c o m p u t e r _ w i t h _ a _ t r o j a n _ w h i c h _ e n a b l e s _ t h e m,string,
34,31,36615,MikkoHypponen_2011X_223.8_224.93,1.13,223.8,224.93,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,will be happening,string,,w i l l _ b e _ h a p p e n i n g,string,
35,7,36591,MikkoHypponen_2011X_64.5_68.41,3.91,64.5,68.41,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,but today  in two thousand and eleven if you go,string,,b u t _ t o d a y _ _ i n _ t w o _ t h o u s a n d _ a n d _ e l e v e n _ i f _ y o u _ g o,string,
36,277,247743,MikkoHypponen_2011G_379.95_388.13,8.18,379.95,388.13,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,you can sell those infected computers somebody else 's computers to these guys and they 'll actually pay you money for those computers ,string,,y o u _ c a n _ s e l l _ t h o s e _ i n f e c t e d _ c o m p u t e r s _ s o m e b o d y _ e l s e _ ' s _ c o m p u t e r s _ t o _ t h e s e _ g u y s _ a n d _ t h e y _ ' l l _ a c t u a l l y _ p a y _ y o u _ m o n e y _ f o r _ t h o s e _ c o m p u t e r s _,string,
38,50,36634,MikkoHypponen_2011X_342.07_352.02,9.95,342.07,352.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011X.sph,sph,,MikkoHypponen_2011X,string,,gmail  now we all or a big part of us use gmail or one of their competitors but these services are especially popular in totalitarian states,string,,g m a i l _ _ n o w _ w e _ a l l _ o r _ a _ b i g _ p a r t _ o f _ u s _ u s e _ g m a i l _ o r _ o n e _ o f _ t h e i r _ c o m p e t i t o r s _ b u t _ t h e s e _ s e r v i c e s _ a r e _ e s p e c i a l l y _ p o p u l a r _ i n _ t o t a l i t a r i a n _ s t a t e s,string,
39,252,247718,MikkoHypponen_2011G_228.4_238.55,10.15,228.4,238.55,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,so let me just show you a couple of examples of what they used to look like what i 'm running here is a system that enables me to run age old programs on a modern computer ,string,,s o _ l e t _ m e _ j u s t _ s h o w _ y o u _ a _ c o u p l e _ o f _ e x a m p l e s _ o f _ w h a t _ t h e y _ u s e d _ t o _ l o o k _ l i k e _ w h a t _ i _ ' m _ r u n n i n g _ h e r e _ i s _ a _ s y s t e m _ t h a t _ e n a b l e s _ m e _ t o _ r u n _ a g e _ o l d _ p r o g r a m s _ o n _ a _ m o d e r n _ c o m p u t e r _,string,
42,193,247301,MikkoHypponen_2013X_902.05_912.14,10.09,902.05,912.14,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,, and two minutes later i got a reply by somebody called kimberly from the united states challenging me like why am i worried about this  what am i sending to worry about this am i sending naked pictures or something,string,,_ a n d _ t w o _ m i n u t e s _ l a t e r _ i _ g o t _ a _ r e p l y _ b y _ s o m e b o d y _ c a l l e d _ k i m b e r l y _ f r o m _ t h e _ u n i t e d _ s t a t e s _ c h a l l e n g i n g _ m e _ l i k e _ w h y _ a m _ i _ w o r r i e d _ a b o u t _ t h i s _ _ w h a t _ a m _ i _ s e n d i n g _ t o _ w o r r y _ a b o u t _ t h i s _ a m _ i _ s e n d i n g _ n a k e d _ p i c t u r e s _ o r _ s o m e t h i n g,string,
43,96,247204,MikkoHypponen_2013X_176.77_179.97,3.2,176.77,179.97,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,and keep it basically forever keep it for,string,,a n d _ k e e p _ i t _ b a s i c a l l y _ f o r e v e r _ k e e p _ i t _ f o r,string,
44,235,247701,MikkoHypponen_2011G_91.8_94.94,3.14,91.8,94.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,,because it says so inside the code ,string,,b e c a u s e _ i t _ s a y s _ s o _ i n s i d e _ t h e _ c o d e _,string,
45,222,247330,MikkoHypponen_2013X_1136.24_1144.76,8.52,1136.24,1144.76,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,and the tide we will build with secure  free open source systems will become the tide that will lift all of us up,string,,a n d _ t h e _ t i d e _ w e _ w i l l _ b u i l d _ w i t h _ s e c u r e _ _ f r e e _ o p e n _ s o u r c e _ s y s t e m s _ w i l l _ b e c o m e _ t h e _ t i d e _ t h a t _ w i l l _ l i f t _ a l l _ o f _ u s _ u p,string,
46,241,247707,MikkoHypponen_2011G_152.86_163.19,10.33,152.86,163.19,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2011G.sph,sph,,MikkoHypponen_2011G,string,, couple of photos i took while i was in pakistan  this is from the city of lahore which is around three hundred kilometers south from abbottabad where bin laden was caught here 's a typical street ,string,,_ c o u p l e _ o f _ p h o t o s _ i _ t o o k _ w h i l e _ i _ w a s _ i n _ p a k i s t a n _ _ t h i s _ i s _ f r o m _ t h e _ c i t y _ o f _ l a h o r e _ w h i c h _ i s _ a r o u n d _ t h r e e _ h u n d r e d _ k i l o m e t e r s _ s o u t h _ f r o m _ a b b o t t a b a d _ w h e r e _ b i n _ l a d e n _ w a s _ c a u g h t _ h e r e _ ' s _ a _ t y p i c a l _ s t r e e t _,string,
47,202,247310,MikkoHypponen_2013X_980.86_991.77,10.91,980.86,991.77,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/MikkoHypponen_2013X.sph,sph,,MikkoHypponen_2013X,string,,and let me actually quote the president of brazil of brazil  ms dilma rousseff she was one of the targets of nsa surveillance her email was read and she spoke,string,,a n d _ l e t _ m e _ a c t u a l l y _ q u o t e _ t h e _ p r e s i d e n t _ o f _ b r a z i l _ o f _ b r a z i l _ _ m s _ d i l m a _ r o u s s e f f _ s h e _ w a s _ o n e _ o f _ t h e _ t a r g e t s _ o f _ n s a _ s u r v e i l l a n c e _ h e r _ e m a i l _ w a s _ r e a d _ a n d _ s h e _ s p o k e,string,
