Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
112,197355,BenGoldacre_2011G_54.9_60.94,6.04,54.9,60.94,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,, causes and prevents cancer as you start to read on you can see that maybe there 's some political valence behind some of this,string,,_ c a u s e s _ a n d _ p r e v e n t s _ c a n c e r _ a s _ y o u _ s t a r t _ t o _ r e a d _ o n _ y o u _ c a n _ s e e _ t h a t _ m a y b e _ t h e r e _ ' s _ s o m e _ p o l i t i c a l _ v a l e n c e _ b e h i n d _ s o m e _ o f _ t h i s,string,
46,79097,BenGoldacre_2012P_340.24_348.21,7.97,340.24,348.21,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2012P.sph,sph,,BenGoldacre_2012P,string,,is still very prevalent in fact it 's so prevalent that it cuts to the core of evidence based medicine,string,,i s _ s t i l l _ v e r y _ p r e v a l e n t _ i n _ f a c t _ i t _ ' s _ s o _ p r e v a l e n t _ t h a t _ i t _ c u t s _ t o _ t h e _ c o r e _ o f _ e v i d e n c e _ b a s e d _ m e d i c i n e,string,
156,197399,BenGoldacre_2011G_415.32_420.94,5.62,415.32,420.94,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,,we know from three different studies on three different types of pain that a saltwater injection is a more effective treatment,string,,w e _ k n o w _ f r o m _ t h r e e _ d i f f e r e n t _ s t u d i e s _ o n _ t h r e e _ d i f f e r e n t _ t y p e s _ o f _ p a i n _ t h a t _ a _ s a l t w a t e r _ i n j e c t i o n _ i s _ a _ m o r e _ e f f e c t i v e _ t r e a t m e n t,string,
140,197383,BenGoldacre_2011G_292.77_300.08,7.31,292.77,300.08,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,, have better social support are less likely to smoke for a host of fascinating interlocking social political and cultural reasons they 're less likely to have wrinkles that doesn,string,,_ h a v e _ b e t t e r _ s o c i a l _ s u p p o r t _ a r e _ l e s s _ l i k e l y _ t o _ s m o k e _ f o r _ a _ h o s t _ o f _ f a s c i n a t i n g _ i n t e r l o c k i n g _ s o c i a l _ p o l i t i c a l _ a n d _ c u l t u r a l _ r e a s o n s _ t h e y _ ' r e _ l e s s _ l i k e l y _ t o _ h a v e _ w r i n k l e s _ t h a t _ d o e s n,string,
119,197362,BenGoldacre_2011G_115.1_124.87,9.77,115.1,124.87,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,, work  exclusively using examples of people getting stuff wrong we 'll start with the absolute weakest form of evidence known to man and that is authority in,string,,_ w o r k _ _ e x c l u s i v e l y _ u s i n g _ e x a m p l e s _ o f _ p e o p l e _ g e t t i n g _ s t u f f _ w r o n g _ w e _ ' l l _ s t a r t _ w i t h _ t h e _ a b s o l u t e _ w e a k e s t _ f o r m _ o f _ e v i d e n c e _ k n o w n _ t o _ m a n _ a n d _ t h a t _ i s _ a u t h o r i t y _ i n,string,
44,79095,BenGoldacre_2012P_329.93_337.62,7.69,329.93,337.62,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2012P.sph,sph,,BenGoldacre_2012P,string,, which will publish any trial conducted in humans regardless of whether it has a positive or a negative result but this problem,string,,_ w h i c h _ w i l l _ p u b l i s h _ a n y _ t r i a l _ c o n d u c t e d _ i n _ h u m a n s _ r e g a r d l e s s _ o f _ w h e t h e r _ i t _ h a s _ a _ p o s i t i v e _ o r _ a _ n e g a t i v e _ r e s u l t _ b u t _ t h i s _ p r o b l e m,string,
203,197446,BenGoldacre_2011G_817.16_823.78,6.62,817.16,823.78,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,,to spin in some kind of positive conclusion  but i would say this,string,,t o _ s p i n _ i n _ s o m e _ k i n d _ o f _ p o s i t i v e _ c o n c l u s i o n _ _ b u t _ i _ w o u l d _ s a y _ t h i s,string,
123,197366,BenGoldacre_2011G_146.25_150.02,3.77,146.25,150.02,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,,every country has somebody like this she is our tv diet,string,,e v e r y _ c o u n t r y _ h a s _ s o m e b o d y _ l i k e _ t h i s _ s h e _ i s _ o u r _ t v _ d i e t,string,
131,197374,BenGoldacre_2011G_204.99_215.38,10.39,204.99,215.38,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2011G.sph,sph,,BenGoldacre_2011G,string,, piece of science it 's a description of the changes in the behavior of one enzyme when you drip a chemical extracted from some red grape skin onto some cancer cells in a dish ,string,,_ p i e c e _ o f _ s c i e n c e _ i t _ ' s _ a _ d e s c r i p t i o n _ o f _ t h e _ c h a n g e s _ i n _ t h e _ b e h a v i o r _ o f _ o n e _ e n z y m e _ w h e n _ y o u _ d r i p _ a _ c h e m i c a l _ e x t r a c t e d _ f r o m _ s o m e _ r e d _ g r a p e _ s k i n _ o n t o _ s o m e _ c a n c e r _ c e l l s _ i n _ a _ d i s h _,string,
6,79057,BenGoldacre_2012P_70.14_79.94,9.8,70.14,79.94,./ressources/audio/TEDLIUM_release-3/legacy/train/sph/BenGoldacre_2012P.sph,sph,,BenGoldacre_2012P,string,, students and this was published in a peer reviewed academic journal and most of the people who read this just said okay well fair enough but i think that 's a fluke that 's a freak because i know that if i did a study where i found,string,,_ s t u d e n t s _ a n d _ t h i s _ w a s _ p u b l i s h e d _ i n _ a _ p e e r _ r e v i e w e d _ a c a d e m i c _ j o u r n a l _ a n d _ m o s t _ o f _ t h e _ p e o p l e _ w h o _ r e a d _ t h i s _ j u s t _ s a i d _ o k a y _ w e l l _ f a i r _ e n o u g h _ b u t _ i _ t h i n k _ t h a t _ ' s _ a _ f l u k e _ t h a t _ ' s _ a _ f r e a k _ b e c a u s e _ i _ k n o w _ t h a t _ i f _ i _ d i d _ a _ s t u d y _ w h e r e _ i _ f o u n d,string,
