round,test_loss,test_accuracy
1,2.3244144521701107,10.280652866242038
2,2.3498430692466203,9.982085987261147
3,2.3063128374184774,17.41640127388535
4,2.2267012945405997,17.70501592356688
5,2.1701724263513165,17.824442675159236
6,2.1284478523169352,17.923964968152866
7,2.096423910681609,18.09315286624204
8,2.0614887111505884,17.983678343949045
9,2.0257558405019673,18.740047770700638
10,2.0004703755591327,20.332404458598727
11,1.9728527312066144,21.83519108280255
12,1.9409266277483315,23.40764331210191
13,1.914400919987138,24.522292993630572
14,1.8741953980391193,26.49283439490446
15,1.8478120155395217,28.801751592356688
16,1.8404861339338265,28.045382165605094
17,1.8294284047594496,28.134952229299362
18,1.8158291175866583,28.68232484076433
19,1.8095412580830277,29.13017515923567
20,1.7896723671323935,28.78184713375796
21,1.754868684300951,29.91640127388535
22,1.7471009341015178,30.1453025477707
23,1.7440882587129143,30.324442675159236
24,1.7258319391566477,29.498407643312103
25,1.7233991486251734,31.359474522292995
26,1.6928940639374361,32.245222929936304
27,1.6902253696113636,32.6234076433121
28,1.6719991819114441,33.03144904458599
29,1.6529228702472274,34.31528662420382
30,1.645463650393638,34.195859872611464
31,1.6549031590200534,33.6484872611465
32,1.6179012629636533,35.12141719745223
33,1.6142644669599593,35.728503184713375
34,1.6083544712917062,36.02707006369427
35,1.6022424022103572,36.176353503184714
36,1.5749145776602873,37.181528662420384
37,1.5619384285750662,37.19148089171974
38,1.5577723509187151,37.75875796178344
39,1.56338301889456,38.017515923566876
40,1.5354505147144293,38.52507961783439
41,1.5360791538931002,38.81369426751592
42,1.5188480645987639,39.59992038216561
43,1.4798053988985196,39.40087579617835
44,1.5043452416255976,39.57006369426752
45,1.4824665260922378,40.99323248407644
46,1.4888395944218726,41.12261146496815
47,1.4597126169569175,41.47093949044586
48,1.4266225441246276,42.13773885350319
49,1.4244519456936295,42.38654458598726
50,1.380249192760249,44.347133757961785
51,1.4127755643455846,43.32205414012739
52,1.4140273977996438,43.202627388535035
53,1.4250790480595485,43.55095541401274
54,1.404286598703664,43.80971337579618
55,1.373754137640546,45.03383757961783
56,1.4121311789105653,44.88455414012739
57,1.3897745943373176,45.34235668789809
58,1.3533651373188966,45.99920382165605
59,1.3564991685235577,46.28781847133758
60,1.3236843210876368,47.611464968152866
61,1.3387993870267443,47.26313694267516
62,1.306410319865889,48.755971337579616
63,1.30612536296723,48.97492038216561
64,1.2903116865522544,49.681528662420384
65,1.2690733014398319,50.97531847133758
66,1.263463890096944,50.85589171974522
67,1.2570370709060863,51.33359872611465
68,1.2452409073805353,52.109872611464965
69,1.2319821920364527,53.22452229299363
70,1.2422483449528932,52.6671974522293
71,1.2279121951692422,53.333996815286625
72,1.2315509960909559,52.81648089171974
73,1.204415466755059,54.727308917197455
74,1.1980196343865364,54.647691082802545
75,1.1385009926595506,57.265127388535035
76,1.1807830774100723,56.210191082802545
77,1.1790174739375996,55.56329617834395
78,1.1699670203931771,56.4390923566879
79,1.1735942181508252,55.91162420382165
80,1.1642429509739967,56.797372611464965
81,1.14777501373534,58.31011146496815
82,1.1193977632340353,59.1859076433121
83,1.1476432601357722,57.92197452229299
84,1.1180423581676118,59.34514331210191
85,1.0810916723719068,60.88773885350319
86,1.0883370444273492,60.53941082802548
87,1.0913354302667508,61.086783439490446
88,1.0861935740823199,60.619028662420384
89,1.0624557650013335,62.16162420382165
90,1.05482927894896,62.6890923566879
91,1.0590154741220414,62.21138535031847
92,1.031386842013924,63.684315286624205
93,1.022948007295086,63.913216560509554
94,1.0145901107484367,64.65963375796179
95,1.0234427201520107,63.853503184713375
96,1.0151579888762943,64.69944267515923
97,1.005190831840418,65.00796178343948
98,0.9911643095836518,65.515525477707
99,,10.011942675159236
100,,10.011942675159236
