,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
1,88,155441,PaulCollier_2009S_566.96_576.55,9.59,566.96,576.55,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,isn 't exposed to international trade  and which can generate a lot of jobs  and which is in any case a sensible sector to expand,string,,i s n _ ' t _ e x p o s e d _ t o _ i n t e r n a t i o n a l _ t r a d e _ _ a n d _ w h i c h _ c a n _ g e n e r a t e _ a _ l o t _ o f _ j o b s _ _ a n d _ w h i c h _ i s _ i n _ a n y _ c a s e _ a _ s e n s i b l e _ s e c t o r _ t o _ e x p a n d,string,
16,32,155385,PaulCollier_2009S_216.54_223.9,7.36,216.54,223.9,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,the first is to recognize the interdependence of three key actors who,string,,t h e _ f i r s t _ i s _ t o _ r e c o g n i z e _ t h e _ i n t e r d e p e n d e n c e _ o f _ t h r e e _ k e y _ a c t o r s _ w h o,string,
22,135,155488,PaulCollier_2009S_832.09_834.73,2.64,832.09,834.73,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,of these countries but,string,,o f _ t h e s e _ c o u n t r i e s _ b u t,string,
27,103,155456,PaulCollier_2009S_662.7_665.11,2.41,662.7,665.11,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,let me turn from jobs,string,,l e t _ m e _ t u r n _ f r o m _ j o b s,string,
28,144,155497,PaulCollier_2009S_884.64_892.3,7.66,884.64,892.3,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,grand high nabob of bosnia to the united nations in his book about his experience he said i realize,string,,g r a n d _ h i g h _ n a b o b _ o f _ b o s n i a _ t o _ t h e _ u n i t e d _ n a t i o n s _ i n _ h i s _ b o o k _ a b o u t _ h i s _ e x p e r i e n c e _ h e _ s a i d _ i _ r e a l i z e,string,
29,102,155455,PaulCollier_2009S_654.78_662.08,7.3,654.78,662.08,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,, that we not only get the jobs  we get the improvements in public infrastructure the restoration of public infrastructure,string,,_ t h a t _ w e _ n o t _ o n l y _ g e t _ t h e _ j o b s _ _ w e _ g e t _ t h e _ i m p r o v e m e n t s _ i n _ p u b l i c _ i n f r a s t r u c t u r e _ t h e _ r e s t o r a t i o n _ o f _ p u b l i c _ i n f r a s t r u c t u r e,string,
33,215,251569,PaulCollier_2008_410.39_418.2,7.81,410.39,418.2,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,so the flow of resources from the commodity booms to the bottom billion are without precedent,string,,s o _ t h e _ f l o w _ o f _ r e s o u r c e s _ f r o m _ t h e _ c o m m o d i t y _ b o o m s _ t o _ t h e _ b o t t o m _ b i l l i o n _ a r e _ w i t h o u t _ p r e c e d e n t,string,
36,80,155433,PaulCollier_2009S_522.62_525.08,2.46,522.62,525.08,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,we need a process of generating,string,,w e _ n e e d _ a _ p r o c e s s _ o f _ g e n e r a t i n g,string,
38,93,155446,PaulCollier_2009S_601.86_604.49,2.63,601.86,604.49,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,you encounter a lot of bottlenecks,string,,y o u _ e n c o u n t e r _ a _ l o t _ o f _ b o t t l e n e c k s,string,
39,148,251502,PaulCollier_2008_12.94_21.5,8.56,12.94,21.5,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,, can we dare to be optimistic  well the thesis of the bottom billion is that a billion people have been stuck living,string,,_ c a n _ w e _ d a r e _ t o _ b e _ o p t i m i s t i c _ _ w e l l _ t h e _ t h e s i s _ o f _ t h e _ b o t t o m _ b i l l i o n _ i s _ t h a t _ a _ b i l l i o n _ p e o p l e _ h a v e _ b e e n _ s t u c k _ l i v i n g,string,
43,276,251630,PaulCollier_2008_790.79_796.86,6.07,790.79,796.86,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,public agency with the greatest expertise on earth is of course the treasury that is the british treasury ,string,,p u b l i c _ a g e n c y _ w i t h _ t h e _ g r e a t e s t _ e x p e r t i s e _ o n _ e a r t h _ i s _ o f _ c o u r s e _ t h e _ t r e a s u r y _ t h a t _ i s _ t h e _ b r i t i s h _ t r e a s u r y _,string,
51,119,155472,PaulCollier_2009S_731.1_739.41,8.31,731.1,739.41,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,the delivery of services on the ground  you should use whatever works churches ngos  local communities,string,,t h e _ d e l i v e r y _ o f _ s e r v i c e s _ o n _ t h e _ g r o u n d _ _ y o u _ s h o u l d _ u s e _ w h a t e v e r _ w o r k s _ c h u r c h e s _ n g o s _ _ l o c a l _ c o m m u n i t i e s,string,
52,286,251640,PaulCollier_2008_851.72_854.01,2.29,851.72,854.01,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,that 's our modest role,string,,t h a t _ ' s _ o u r _ m o d e s t _ r o l e,string,
56,9,155362,PaulCollier_2009S_80.05_86.45,6.4,80.05,86.45,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,and thirdly what is the exit strategy for the peacekeepers  it 's an election,string,,a n d _ t h i r d l y _ w h a t _ i s _ t h e _ e x i t _ s t r a t e g y _ f o r _ t h e _ p e a c e k e e p e r s _ _ i t _ ' s _ a n _ e l e c t i o n,string,
58,68,155421,PaulCollier_2009S_455.04_464.72,9.68,455.04,464.72,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,everywhere  but the capacity to implement change is very limited  so we have to be disciplined and focus on things that are critical and,string,,e v e r y w h e r e _ _ b u t _ t h e _ c a p a c i t y _ t o _ i m p l e m e n t _ c h a n g e _ i s _ v e r y _ l i m i t e d _ _ s o _ w e _ h a v e _ t o _ b e _ d i s c i p l i n e d _ a n d _ f o c u s _ o n _ t h i n g s _ t h a t _ a r e _ c r i t i c a l _ a n d,string,
60,49,155402,PaulCollier_2009S_332.9_340.99,8.09,332.9,340.99,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,so there is a reform agenda  and there is an inclusion agenda  the inclusion agenda doesn 't come from elections elections,string,,s o _ t h e r e _ i s _ a _ r e f o r m _ a g e n d a _ _ a n d _ t h e r e _ i s _ a n _ i n c l u s i o n _ a g e n d a _ _ t h e _ i n c l u s i o n _ a g e n d a _ d o e s n _ ' t _ c o m e _ f r o m _ e l e c t i o n s _ e l e c t i o n s,string,
68,160,251514,PaulCollier_2008_82.78_89.75,6.97,82.78,89.75,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,combined with social integration globally  it will build a nightmare for our children,string,,c o m b i n e d _ w i t h _ s o c i a l _ i n t e g r a t i o n _ g l o b a l l y _ _ i t _ w i l l _ b u i l d _ a _ n i g h t m a r e _ f o r _ o u r _ c h i l d r e n,string,
77,164,251518,PaulCollier_2008_114.62_116.79,2.17,114.62,116.79,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,well a good guide,string,,w e l l _ a _ g o o d _ g u i d e,string,
79,240,251594,PaulCollier_2008_559.07_564.57,5.5,559.07,564.57,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,ever and the question is whether the short run will persist and,string,,e v e r _ a n d _ t h e _ q u e s t i o n _ i s _ w h e t h e r _ t h e _ s h o r t _ r u n _ w i l l _ p e r s i s t _ a n d,string,
82,92,155445,PaulCollier_2009S_597.89_602.08,4.19,597.89,602.08,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2009S.sph,sph,,PaulCollier_2009S,string,,and then when you try and expand it because it 's shriveled away ,string,,a n d _ t h e n _ w h e n _ y o u _ t r y _ a n d _ e x p a n d _ i t _ b e c a u s e _ i t _ ' s _ s h r i v e l e d _ a w a y _,string,
85,153,251507,PaulCollier_2008_46.82_54.94,8.12,46.82,54.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/PaulCollier_2008.sph,sph,,PaulCollier_2008,string,,is a recipe a combination of the two forces that changed the world for good  which is the alliance,string,,i s _ a _ r e c i p e _ a _ c o m b i n a t i o n _ o f _ t h e _ t w o _ f o r c e s _ t h a t _ c h a n g e d _ t h e _ w o r l d _ f o r _ g o o d _ _ w h i c h _ i s _ t h e _ a l l i a n c e,string,
